,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,intercept,voiced,is_word,wordfreq,task,session
0,lw1,0.0,0.0,phoneme,0.0,stimuli/audio/lw1_0.wav,23.506,0.08,2000-01-01 00:00:00+00:00,t_B,0.0,sentence,0.0,205.0,Allison,1.0,,1.0,False,False,,0,0
1,lw1,0.0,0.0,phoneme,0.08,stimuli/audio/lw1_0.wav,23.586,0.09,2000-01-01 00:00:00+00:00,eh_I,0.0,sentence,0.0,205.0,Allison,1.0,,1.0,True,True,3.66,0,0
2,lw1,0.0,0.0,phoneme,0.17,stimuli/audio/lw1_0.wav,23.676,0.0699999999999999,2000-01-01 00:00:00+00:00,r_I,0.0,sentence,0.0,205.0,Allison,1.0,,1.0,True,False,,0,0
3,lw1,0.0,0.0,phoneme,0.24,stimuli/audio/lw1_0.wav,23.746,0.06,2000-01-01 00:00:00+00:00,ah_E,0.0,sentence,0.0,205.0,Allison,1.0,,1.0,True,False,,0,0
4,lw1,0.0,0.0,phoneme,0.31,stimuli/audio/lw1_0.wav,23.816,0.06,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,1.0,205.0,Allison,1.0,,1.0,False,False,,0,0
5,lw1,0.0,0.0,phoneme,0.37,stimuli/audio/lw1_0.wav,23.876,0.0399999999999999,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,1.0,205.0,Allison,1.0,,1.0,False,True,4.57,0,0
6,lw1,0.0,0.0,phoneme,0.41,stimuli/audio/lw1_0.wav,23.916,0.08,2000-01-01 00:00:00+00:00,uh_I,0.0,sentence,1.0,205.0,Allison,1.0,,1.0,True,False,,0,0
7,lw1,0.0,0.0,phoneme,0.49,stimuli/audio/lw1_0.wav,23.996,0.06,2000-01-01 00:00:00+00:00,d_E,0.0,sentence,1.0,205.0,Allison,1.0,,1.0,True,False,,0,0
8,lw1,0.0,0.0,phoneme,0.55,stimuli/audio/lw1_0.wav,24.056,0.0499999999999999,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,2.0,205.0,Allison,1.0,,1.0,False,False,,0,0
9,lw1,0.0,0.0,phoneme,0.6,stimuli/audio/lw1_0.wav,24.106,0.07,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,2.0,205.0,Allison,1.0,,1.0,False,True,4.93,0,0
10,lw1,0.0,0.0,phoneme,0.67,stimuli/audio/lw1_0.wav,24.176,0.12,2000-01-01 00:00:00+00:00,aa_I,0.0,sentence,2.0,205.0,Allison,1.0,,1.0,True,False,,0,0
11,lw1,0.0,0.0,phoneme,0.79,stimuli/audio/lw1_0.wav,24.296,0.13,2000-01-01 00:00:00+00:00,k_E,0.0,sentence,2.0,205.0,Allison,1.0,,1.0,False,False,,0,0
12,lw1,0.0,0.0,phoneme,1.08,stimuli/audio/lw1_0.wav,24.586,0.0799999999999998,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,3.0,205.0,Allison,1.0,,1.0,False,False,,0,0
13,lw1,0.0,0.0,phoneme,1.16,stimuli/audio/lw1_0.wav,24.666,0.07,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,3.0,205.0,Allison,1.0,,1.0,False,True,5.92,0,0
14,lw1,0.0,0.0,phoneme,1.23,stimuli/audio/lw1_0.wav,24.736,0.1100000000000001,2000-01-01 00:00:00+00:00,ih_I,0.0,sentence,3.0,205.0,Allison,1.0,,1.0,True,False,,0,0
15,lw1,0.0,0.0,phoneme,1.34,stimuli/audio/lw1_0.wav,24.846,0.1399999999999999,2000-01-01 00:00:00+00:00,l_E,0.0,sentence,3.0,205.0,Allison,1.0,,1.0,True,False,,0,0
16,lw1,0.0,0.0,phoneme,1.63,stimuli/audio/lw1_0.wav,25.136,0.1400000000000001,2000-01-01 00:00:00+00:00,w_B,0.0,sentence,4.0,205.0,Allison,1.0,,1.0,True,False,,0,0
17,lw1,0.0,0.0,phoneme,1.77,stimuli/audio/lw1_0.wav,25.276,0.07,2000-01-01 00:00:00+00:00,ey_I,0.0,sentence,4.0,205.0,Allison,1.0,,1.0,True,True,5.06,0,0
18,lw1,0.0,0.0,phoneme,1.84,stimuli/audio/lw1_0.wav,25.346,0.0499999999999998,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,4.0,205.0,Allison,1.0,,1.0,False,False,,0,0
19,lw1,0.0,0.0,phoneme,1.89,stimuli/audio/lw1_0.wav,25.396,0.07,2000-01-01 00:00:00+00:00,ih_I,0.0,sentence,4.0,205.0,Allison,1.0,,1.0,True,False,,0,0
20,lw1,0.0,0.0,phoneme,1.96,stimuli/audio/lw1_0.wav,25.466,0.08,2000-01-01 00:00:00+00:00,ng_E,0.0,sentence,4.0,205.0,Allison,1.0,,1.0,True,False,,0,0
21,lw1,0.0,0.0,phoneme,2.04,stimuli/audio/lw1_0.wav,25.546,0.0499999999999998,2000-01-01 00:00:00+00:00,f_B,0.0,sentence,5.0,205.0,Allison,1.0,,1.0,False,False,,0,0
22,lw1,0.0,0.0,phoneme,2.09,stimuli/audio/lw1_0.wav,25.596,0.08,2000-01-01 00:00:00+00:00,er_E,0.0,sentence,5.0,205.0,Allison,1.0,,1.0,True,True,7.01,0,0
23,lw1,0.0,0.0,phoneme,2.17,stimuli/audio/lw1_0.wav,25.676,0.0300000000000002,2000-01-01 00:00:00+00:00,dh_B,0.0,sentence,6.0,205.0,Allison,1.0,,1.0,True,False,,0,0
24,lw1,0.0,0.0,phoneme,2.2,stimuli/audio/lw1_0.wav,25.706,0.0599999999999996,2000-01-01 00:00:00+00:00,ah_E,0.0,sentence,6.0,205.0,Allison,1.0,,1.0,True,True,7.73,0,0
25,lw1,0.0,0.0,phoneme,2.26,stimuli/audio/lw1_0.wav,25.766,0.0700000000000002,2000-01-01 00:00:00+00:00,f_B,0.0,sentence,7.0,205.0,Allison,1.0,,1.0,False,False,,0,0
26,lw1,0.0,0.0,phoneme,2.33,stimuli/audio/lw1_0.wav,25.836,0.1200000000000001,2000-01-01 00:00:00+00:00,er_I,0.0,sentence,7.0,205.0,Allison,1.0,,1.0,True,True,6.11,0,0
27,lw1,0.0,0.0,phoneme,2.45,stimuli/audio/lw1_0.wav,25.956,0.0599999999999996,2000-01-01 00:00:00+00:00,s_I,0.0,sentence,7.0,205.0,Allison,1.0,,1.0,False,False,,0,0
28,lw1,0.0,0.0,phoneme,2.51,stimuli/audio/lw1_0.wav,26.016,0.02,2000-01-01 00:00:00+00:00,t_E,0.0,sentence,7.0,205.0,Allison,1.0,,1.0,False,False,,0,0
29,lw1,0.0,0.0,phoneme,2.54,stimuli/audio/lw1_0.wav,26.046,0.08,2000-01-01 00:00:00+00:00,t_B,0.0,sentence,8.0,205.0,Allison,1.0,,1.0,False,False,,0,0
30,lw1,0.0,0.0,phoneme,2.62,stimuli/audio/lw1_0.wav,26.126,0.1200000000000001,2000-01-01 00:00:00+00:00,ay_I,0.0,sentence,8.0,205.0,Allison,1.0,,1.0,True,True,4.62,0,0
31,lw1,0.0,0.0,phoneme,2.74,stimuli/audio/lw1_0.wav,26.246,0.0499999999999998,2000-01-01 00:00:00+00:00,n_I,0.0,sentence,8.0,205.0,Allison,1.0,,1.0,True,False,,0,0
32,lw1,0.0,0.0,phoneme,2.79,stimuli/audio/lw1_0.wav,26.296,0.06,2000-01-01 00:00:00+00:00,iy_E,0.0,sentence,8.0,205.0,Allison,1.0,,1.0,True,False,,0,0
