,story,story_uid,sound_id,kind,start,sound,onset,duration,orig_time,phoneme,sequence_id,condition,word_index,speech_rate,voice,pronounced,word,is_word
0,lw1,0.0,0.0,sound,0.0,stimuli/audio/lw1_0.0.wav,23.506,0.0,2000-01-01 00:00:00+00:00,,,,,,,,,False
1,lw1,0.0,0.0,phoneme,0.0,stimuli/audio/lw1_0.wav,23.506,0.08,2000-01-01 00:00:00+00:00,t_B,0.0,sentence,0.0,205.0,Allison,1.0,,False
2,lw1,0.0,0.0,word,0.0,stimuli/audio/lw1_0.wav,23.506,0.3,2000-01-01 00:00:00+00:00,,0.0,sentence,0.0,205.0,Allison,1.0,Tara,True
3,lw1,0.0,0.0,phoneme,0.08,stimuli/audio/lw1_0.wav,23.586,0.09,2000-01-01 00:00:00+00:00,eh_I,0.0,sentence,0.0,205.0,Allison,1.0,,False
4,lw1,0.0,0.0,phoneme,0.17,stimuli/audio/lw1_0.wav,23.676,0.0699999999999999,2000-01-01 00:00:00+00:00,r_I,0.0,sentence,0.0,205.0,Allison,1.0,,False
5,lw1,0.0,0.0,phoneme,0.24,stimuli/audio/lw1_0.wav,23.746,0.06,2000-01-01 00:00:00+00:00,ah_E,0.0,sentence,0.0,205.0,Allison,1.0,,False
6,lw1,0.0,0.0,phoneme,0.31,stimuli/audio/lw1_0.wav,23.816,0.06,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,1.0,205.0,Allison,1.0,,False
7,lw1,0.0,0.0,word,0.31,stimuli/audio/lw1_0.wav,23.816,0.24,2000-01-01 00:00:00+00:00,,0.0,sentence,1.0,205.0,Allison,1.0,stood,True
8,lw1,0.0,0.0,phoneme,0.37,stimuli/audio/lw1_0.wav,23.876,0.0399999999999999,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,1.0,205.0,Allison,1.0,,False
9,lw1,0.0,0.0,phoneme,0.41,stimuli/audio/lw1_0.wav,23.916,0.08,2000-01-01 00:00:00+00:00,uh_I,0.0,sentence,1.0,205.0,Allison,1.0,,False
10,lw1,0.0,0.0,phoneme,0.49,stimuli/audio/lw1_0.wav,23.996,0.06,2000-01-01 00:00:00+00:00,d_E,0.0,sentence,1.0,205.0,Allison,1.0,,False
11,lw1,0.0,0.0,phoneme,0.55,stimuli/audio/lw1_0.wav,24.056,0.0499999999999999,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,2.0,205.0,Allison,1.0,,False
12,lw1,0.0,0.0,word,0.55,stimuli/audio/lw1_0.wav,24.056,0.37,2000-01-01 00:00:00+00:00,,0.0,sentence,2.0,205.0,Allison,1.0,stock,True
13,lw1,0.0,0.0,phoneme,0.6,stimuli/audio/lw1_0.wav,24.106,0.07,2000-01-01 00:00:00+00:00,t_I,0.0,sentence,2.0,205.0,Allison,1.0,,False
14,lw1,0.0,0.0,phoneme,0.67,stimuli/audio/lw1_0.wav,24.176,0.12,2000-01-01 00:00:00+00:00,aa_I,0.0,sentence,2.0,205.0,Allison,1.0,,False
15,lw1,0.0,0.0,phoneme,0.79,stimuli/audio/lw1_0.wav,24.296,0.13,2000-01-01 00:00:00+00:00,k_E,0.0,sentence,2.0,205.0,Allison,1.0,,False
16,lw1,0.0,0.0,phoneme,1.08,stimuli/audio/lw1_0.wav,24.586,0.0799999999999998,2000-01-01 00:00:00+00:00,s_B,0.0,sentence,3.0,205.0,Allison,1.0,,False
